1000 6357
1 2 100000
1 3 100000
1 4 100000
1 5 100000
1 6 100000
1 7 100000
1 8 100000
1 9 100000
1 10 100000
1 11 100000
1 12 100000
1 13 100000
1 14 100000
1 15 100000
1 16 100000
1 17 100000
1 18 100000
1 19 100000
1 20 100000
1 21 100000
1 22 100000
1 23 100000
2 32 1272
2 45 6026
2 31 7351
3 32 8426
3 26 5413
3 35 1590
3 39 5928
3 34 6613
3 33 7973
4 25 5874
4 26 2186
4 38 5764
4 34 3883
4 39 6849
4 42 9592
4 27 2639
4 40 6181
4 35 2855
4 41 1092
4 30 8533
4 37 4349
4 28 2207
4 32 2078
4 31 4723
4 45 9050
4 43 667
4 44 754
4 29 8820
5 28 2455
5 44 6302
5 26 9138
5 30 8771
5 36 6235
5 29 3105
5 32 6617
5 24 1092
5 27 5236
5 43 7736
5 40 8535
5 39 8815
5 35 7323
6 32 2673
6 45 8916
6 30 9499
6 36 6434
6 40 7223
6 43 2454
6 41 4130
6 42 2921
6 27 853
6 33 3971
6 24 881
6 34 8876
6 25 1205
6 28 6884
6 31 1831
6 37 9574
6 29 5227
7 30 6973
7 38 8736
7 43 8712
7 27 1961
8 26 9788
8 25 4255
8 38 1794
8 31 3825
8 42 2971
8 35 798
8 41 6305
9 39 3548
9 38 5270
9 42 3621
9 45 6277
9 24 2787
9 26 786
9 27 2682
9 32 2714
10 28 5402
10 38 8943
10 27 1619
10 29 8573
10 45 7810
10 40 6605
10 44 5068
10 30 3588
10 34 4304
10 32 8587
10 33 1242
10 26 8400
11 32 4308
11 24 6803
11 25 7797
11 30 4851
11 36 4286
11 43 8710
11 28 3036
11 26 9486
11 38 7216
11 35 1073
11 39 9662
12 27 6346
12 43 8533
12 26 7163
12 41 6291
12 34 5553
12 42 4813
12 29 8975
12 28 1115
12 30 4855
12 40 7846
12 37 8818
13 39 7148
13 41 6660
13 29 2048
13 25 3770
13 36 4370
13 33 3195
13 34 8683
13 31 1002
13 28 1924
13 42 8051
13 26 9991
13 43 5530
14 32 8837
14 29 5313
14 39 5665
14 25 4024
14 37 3685
14 27 5605
14 31 7552
15 44 4907
15 27 6223
15 38 7457
15 31 4301
15 36 533
15 39 1507
15 37 6102
15 35 740
15 41 1972
15 34 3577
15 28 1893
15 30 9173
15 45 548
15 40 4124
15 26 6039
15 43 6199
15 25 7790
15 32 7301
15 42 6324
16 32 2432
16 28 6555
16 45 3166
16 35 7617
16 24 7530
16 39 8861
16 31 3394
16 27 3618
16 41 2994
16 38 9918
16 40 8195
16 34 4364
16 36 4684
16 25 5596
17 41 1266
17 24 4331
17 39 1328
17 26 3381
17 34 7693
17 33 6607
17 37 1556
17 30 8560
17 31 1282
17 43 1292
17 45 5967
17 27 9402
17 42 2815
17 28 5761
17 36 8576
18 41 5119
18 36 2372
18 39 1135
18 44 4669
18 31 7162
18 40 4426
18 45 5431
18 43 9395
18 37 2351
18 25 5935
18 34 9744
18 28 6951
18 32 1165
18 29 2529
18 38 7770
18 35 6036
18 24 6313
19 35 1329
20 44 9769
20 41 9155
20 43 4221
20 39 5743
20 36 7661
20 28 3402
20 31 5149
20 24 2399
20 27 2842
20 37 9524
21 37 3482
21 24 5163
21 43 7213
21 35 3805
21 25 3372
21 41 7062
21 36 7013
21 39 8711
21 28 4156
21 29 7880
21 38 3248
21 34 1685
21 33 6123
21 30 2275
21 26 1683
21 45 4792
21 27 2141
22 43 3633
22 39 5589
22 32 4478
22 42 4995
22 24 6761
22 33 5279
22 38 941
22 28 1735
22 26 961
22 37 6418
22 44 3938
22 45 3195
22 27 1889
23 27 9422
23 36 2859
23 42 7289
23 44 1931
23 33 7500
23 32 6181
23 37 5596
23 25 6483
23 30 2465
23 34 1882
23 41 8851
23 31 1358
23 35 7369
23 39 8692
24 60 6035
24 50 7996
24 57 4036
24 49 6300
24 66 8432
24 56 8743
24 65 789
24 64 3786
24 46 5329
24 53 1170
24 58 4760
24 63 5471
24 54 5409
24 61 5054
24 59 6181
24 55 8142
25 62 7207
26 52 5531
26 66 5891
26 61 5361
26 55 8972
26 62 8202
27 57 5816
27 62 8313
27 65 2191
27 55 3699
27 50 4136
27 60 984
27 64 6233
27 67 2457
27 59 9537
27 46 6529
27 53 1032
27 51 1630
28 60 2584
28 48 6480
28 55 2218
28 66 4361
28 51 9284
28 65 4418
28 59 2608
29 67 9633
29 54 7258
29 57 1505
29 55 8439
29 49 7794
29 47 2833
29 60 8730
29 61 2383
29 48 7146
29 63 9504
29 51 2804
29 50 3404
29 66 3434
29 46 1437
29 53 6625
29 52 2793
29 64 2744
30 62 2305
30 56 8090
30 60 8546
30 67 8612
30 66 3980
30 50 2290
30 54 6597
30 49 3815
30 51 1750
30 58 2853
30 59 4765
30 61 3504
31 64 4129
31 66 6199
31 61 6166
31 63 3609
32 56 5358
32 48 9379
32 53 5045
32 55 2106
32 47 989
32 51 915
32 63 2072
32 64 5769
32 59 5216
32 54 4801
32 62 3494
32 49 7220
32 67 6426
32 58 7519
32 50 3664
32 61 4167
32 66 6569
32 52 5974
33 57 5865
33 53 7760
33 62 9631
33 64 3516
33 51 3906
33 50 7981
33 59 6580
33 65 5111
33 66 8663
34 59 3807
34 67 7023
34 53 7484
34 50 9736
34 60 1714
35 47 3482
35 64 1960
35 49 7354
35 56 2717
35 54 4241
35 55 1153
35 66 2994
35 46 3763
35 67 3205
35 62 2257
35 63 7513
35 50 3612
35 60 8144
35 57 9882
36 50 8642
36 57 1566
36 60 3673
36 54 3322
36 48 1377
36 46 1617
36 65 6559
36 49 1946
36 67 2974
36 55 7862
36 52 3458
36 64 1080
37 62 9348
37 58 9678
37 59 2914
37 50 8568
37 56 525
37 52 5693
37 64 9761
37 65 3104
37 49 3235
38 56 6300
38 59 1794
38 58 2019
38 57 4430
38 65 1254
38 52 6982
38 64 1235
38 66 802
38 46 2056
38 63 8057
39 49 5508
39 67 5674
40 67 4921
40 55 4661
40 60 1312
40 50 8596
40 62 4358
40 54 3670
40 48 1452
40 52 1250
40 63 8510
40 65 1268
40 61 9153
40 56 3596
40 47 7140
40 64 1306
40 49 9876
41 57 5566
41 51 5670
41 59 3592
41 66 1728
41 50 1489
41 53 6498
41 46 7465
41 60 1276
41 54 8922
41 55 812
41 48 3753
41 62 6841
41 58 5946
41 64 2903
42 55 9116
42 65 1818
42 50 9003
42 56 5321
42 48 2919
42 53 5672
42 52 3083
42 67 6365
42 61 2307
42 66 5984
42 47 3748
42 60 4242
42 54 5910
42 49 2902
42 58 8033
42 51 4945
42 62 1919
42 59 985
42 57 5133
43 64 1958
43 58 1929
43 46 6509
43 56 6264
43 62 5144
43 63 2634
43 49 2337
43 53 8777
43 48 920
43 65 6482
43 50 1272
43 55 8070
43 51 3495
43 52 4319
43 67 7725
44 47 1056
44 64 7910
45 54 1247
45 64 9346
45 63 7562
45 66 1835
46 76 7123
46 84 9381
46 72 3833
46 77 7041
46 68 5568
46 73 1735
46 80 1863
47 81 7893
47 73 6880
47 85 4169
47 69 7863
47 80 4911
47 71 4992
47 86 5495
47 72 6473
47 83 2990
47 68 5672
47 75 3153
47 82 5618
47 84 975
47 88 829
47 79 8543
47 70 6850
47 89 6384
47 74 7961
48 73 6656
48 74 2486
48 82 6732
48 81 1099
48 68 3651
48 86 8392
48 87 9247
48 78 9863
48 80 6380
48 84 1436
48 71 6013
48 69 2120
48 76 2830
48 89 4794
49 71 6031
49 89 4558
49 80 1680
49 81 8580
49 85 1657
49 77 3461
49 75 2252
49 78 7879
49 79 1201
49 76 7904
50 71 7760
50 81 4118
50 88 8576
50 82 959
50 80 1337
50 89 8479
50 78 6705
50 70 7593
50 79 2358
50 84 6365
50 86 9205
50 74 5622
50 83 681
50 73 8381
50 69 8958
50 85 4118
50 87 5920
50 72 3067
51 79 9924
51 69 6617
51 77 7282
52 69 5052
52 80 1194
52 81 644
52 83 8218
52 77 5058
52 79 1652
52 76 7177
52 74 5832
52 88 4133
52 86 6536
52 89 9415
52 78 5652
52 72 2959
52 82 3654
52 71 7554
52 85 5902
52 68 1314
53 87 3179
53 68 9893
53 75 8552
53 83 6881
53 80 7663
53 84 3698
53 74 641
53 89 1380
53 78 4492
53 76 4662
54 87 7035
54 80 9866
54 74 8995
54 69 1917
54 72 2267
54 71 7362
54 82 6608
55 84 6303
56 84 2571
56 81 6586
56 82 6669
56 70 5375
56 77 6473
56 72 9129
56 69 4685
56 86 4969
56 74 3335
56 78 6718
56 85 8517
57 76 6443
57 89 7391
57 80 6729
57 88 9211
57 69 1613
57 74 7448
57 81 7238
57 82 5265
57 85 5074
57 68 7730
57 75 6245
58 72 746
58 87 1182
58 73 2132
58 68 4562
58 71 1911
58 89 7653
59 71 2885
59 80 5123
59 77 8393
59 73 1846
59 81 4574
59 70 5050
59 79 4605
59 86 8417
59 84 1455
59 87 4183
59 83 5529
59 76 1452
59 89 9710
59 68 9326
59 69 9898
59 82 6379
59 88 9631
59 85 2687
60 75 1021
60 77 4270
60 82 2637
60 80 8529
60 88 2916
60 79 5915
60 86 8455
61 77 7751
61 73 1292
61 79 6409
61 89 4524
61 82 4154
61 87 6186
61 81 5319
61 78 9000
61 72 2017
61 71 9509
61 70 3200
61 85 9997
61 83 7028
61 69 6066
61 74 5277
61 75 8025
61 84 1748
61 80 6085
62 79 1474
62 89 2427
63 72 7719
63 71 1761
63 79 1453
63 77 1061
63 81 8948
64 85 1164
64 87 8817
64 80 2923
64 79 1614
64 74 3175
64 72 9591
64 71 9304
64 81 8270
64 88 4959
64 69 6392
64 70 9818
65 71 8132
65 89 9307
65 79 1673
65 78 5628
65 76 5876
65 83 2098
65 88 7466
65 73 5756
65 69 2146
65 70 9695
65 81 3634
65 84 1046
65 85 9023
65 82 4391
66 84 3680
66 85 7637
66 77 1369
66 78 5824
66 82 9174
66 74 1267
66 89 1394
67 87 1524
67 68 7241
67 83 8167
67 69 4327
67 74 7471
67 81 1531
67 75 7698
67 70 9122
67 89 4032
67 84 1843
68 95 7537
68 96 2820
68 99 4403
68 108 3425
68 93 6642
69 92 2073
69 100 9871
69 94 1985
69 97 8236
69 111 1425
69 110 6295
69 105 955
69 104 6676
69 98 2855
69 109 5985
70 93 7981
70 92 1990
70 90 1503
70 94 778
70 98 3789
70 101 1613
70 108 953
70 96 8356
70 91 9197
71 95 3725
71 91 3144
71 105 3604
71 97 5290
71 99 4998
71 102 6381
71 94 7122
71 109 9206
71 111 7424
71 103 5501
72 101 1613
72 102 8532
72 90 5758
72 100 9730
72 104 7919
72 99 1464
72 94 7604
72 103 2916
72 108 5209
72 96 8753
72 107 619
72 92 9772
73 97 5511
73 92 6080
73 90 4360
73 107 9935
73 102 9409
73 94 5910
74 96 2025
74 108 7403
74 104 6566
74 107 1339
74 110 8748
75 92 5012
75 101 1291
75 100 1155
75 94 7100
75 95 1971
75 90 3244
75 110 3997
75 103 9504
75 108 592
75 93 2214
75 105 4988
75 109 8635
75 97 8219
76 93 8244
76 97 1904
76 98 6166
76 91 901
76 95 9803
76 94 1378
77 94 8554
77 100 927
77 99 5689
77 109 1233
77 110 3655
77 104 3672
77 97 2941
77 103 2366
77 90 799
77 108 4059
77 101 4641
77 106 7403
77 98 9422
77 91 2332
77 95 588
77 107 5952
77 111 1897
77 96 1734
77 92 5162
78 106 7329
78 104 9388
78 100 9446
78 103 9527
78 93 3641
78 90 6614
78 109 2083
78 102 853
78 98 6770
78 101 2683
78 99 9919
78 111 1365
78 108 9058
78 95 9705
78 94 6771
79 96 9640
80 90 1162
80 107 4540
80 100 7624
80 92 1171
80 97 836
80 96 8777
80 109 6663
80 108 8415
80 101 9704
80 110 6875
80 93 5993
81 92 8303
81 90 6375
81 91 6448
81 102 525
81 97 654
81 108 880
81 100 2645
81 98 4244
81 103 5516
81 107 662
81 106 1416
81 99 9311
82 102 3584
82 101 6878
82 98 9229
82 96 8700
82 100 512
83 97 2276
83 106 7702
83 90 6929
83 94 2785
83 104 4434
83 93 1751
83 99 8507
83 111 1759
83 108 1912
83 105 2249
84 101 9614
84 90 4884
84 109 2881
84 111 9644
84 95 4137
85 109 8132
85 105 5948
86 107 3060
86 98 5059
86 106 9090
86 111 7163
86 109 721
86 99 7267
86 110 9034
86 108 3892
86 92 4760
86 94 6228
86 102 3911
86 91 9987
86 105 3215
86 100 6369
86 103 7499
87 95 9748
87 102 7307
87 109 2561
87 103 4639
87 97 7602
87 107 4865
87 110 7797
87 91 3548
87 90 2146
87 101 8174
88 91 3570
88 90 4474
88 106 3223
88 93 7275
88 95 6148
88 108 5447
88 104 8116
88 97 1260
89 99 5819
89 111 3799
89 101 5811
89 96 9824
89 108 607
89 103 7811
89 98 7241
89 91 8320
89 95 5305
89 109 7891
89 104 7578
89 92 4571
89 106 4811
89 90 2481
89 100 2916
89 97 6695
89 102 8781
89 107 4847
89 93 1912
90 132 6162
90 122 1604
90 126 9105
91 133 648
91 126 3938
91 114 3950
91 129 1551
